,,112學年度大學分發入學,各系組最低錄取標準及錄取人數一覽表,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1,國立臺灣大學,中國文學系,國x1.50 英x1.25 歷x1.25 地x1.00 數Bx1.00,23,302.5,-----
2,國立臺灣大學,外國語文學系,英x2.00 國x1.25 歷x1.00 地x1.00,48,281.75,335.3
3,國立臺灣大學,歷史學系,歷x1.00 國x1.00 英x1.00 地x1.00 公x1.00,29,260,265.95
4,國立臺灣大學,哲學系,國x1.00 英x1.00 歷x1.00 公x1.00,18,204,-----
5,國立臺灣大學,人類學系,英x1.50 歷x1.00 國x1.00 地x1.00 公x1.00,23,283,287.55
6,國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 歷x1.00 公x1.00,26,237,237.2
7,國立臺灣大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00 公x1.00,22,313,-----
10,國立臺灣大學,戲劇學系(男),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,7,293,-----
11,國立臺灣大學,戲劇學系(女),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,7,302,-----
12,國立臺灣大學,數學系,數Ax1.50 數甲x1.50 物x1.00 化x1.00 英x1.00,16,291.5,-----
,,,,,,
13,國立臺灣大學,物理學系,物x1.50 數甲x1.50 英x1.00 化x1.00,29,251,-----
,,,,,,
14,國立臺灣大學,化學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,24,245,-----
15,國立臺灣大學,地質科學系,數甲x1.00 英x1.00 化x1.00 物x1.00 國x1.00,14,218,-----
16,國立臺灣大學,心理學系,數甲x1.00 英x1.00 國x1.00 生x1.00 化x1.00,45,240,252.45
17,國立臺灣大學,地理環境資源學系A組,數甲x1.00 物x1.00 化x1.00,10,128,-----
20,國立臺灣大學,地理環境資源學系B組,地x1.25 公x1.00 數Bx1.00,9,175.75,-----
21,國立臺灣大學,大氣科學系,數甲x1.25 物x1.25 化x1.25 英x1.00 國x1.00,14,261.25,263.35
22,國立臺灣大學,政治學系政治理論組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,31,296.25,328.35
23,國立臺灣大學,政治學系國際關係組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,23,306.75,350.1
24,國立臺灣大學,政治學系公共行政組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,28,296.75,305.75
25,國立臺灣大學,經濟學系A組,數甲x2.00 英x1.50 自x1.00,27,220,-----
26,國立臺灣大學,經濟學系B組,數Ax2.00 英x1.50 公x1.00,10,233,-----
27,國立臺灣大學,社會學系,英x1.00 國x1.00 數Bx1.00 公x1.00 歷x1.00,18,257,283.5
30,國立臺灣大學,社會工作學系,英x1.25 國x1.25 數Bx1.00 公x1.00 歷x1.00,23,273.5,278.8
31,國立臺灣大學,醫學系(自費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,52,283,369.9
32,國立臺灣大學,醫學系(公費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,3,258,-----
33,國立臺灣大學,牙醫學系,生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,18,275,333.45
34,國立臺灣大學,藥學系,數甲x1.00 物x1.00 化x2.00 生x2.00 英x1.00,21,360,376.6
35,國立臺灣大學,醫學檢驗暨生物技術學系,化x1.00 生x1.00 英x1.00 數甲x1.00 國x1.00,21,243,-----
36,國立臺灣大學,護理學系,英x1.00 生x1.00 化x1.00 數甲x1.00 國x1.00,16,231,-----
37,國立臺灣大學,物理治療學系,生x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,21,243,-----
,,,112學年度最低錄取標準-第1頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
40,國立臺灣大學,職能治療學系,英x1.50 國x1.25 生x1.00 數甲x1.00,22,241.5,263.35
41,國立臺灣大學,土木工程學系,數甲x1.00 物x1.00 英x1.00 國x1.00 化x1.00,42,231,233.2
42,國立臺灣大學,機械工程學系,物x1.00 數甲x1.00 化x1.00 英x1.00 國x1.00,45,247,263.25
43,國立臺灣大學,化學工程學系,數甲x1.25 物x1.25 化x1.25 英x1.00,43,233,250.45
44,國立臺灣大學,工程科學及海洋工程學系,數甲x2.00 物x2.00 英x1.00 化x1.00,17,292,-----
45,國立臺灣大學,材料科學與工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,30,259,-----
46,國立臺灣大學,醫學工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,14,245,-----
47,國立臺灣大學,農藝學系,生x1.25 化x1.25 英x1.00 數甲x1.00 國x1.00,19,244.75,-----
50,國立臺灣大學,生物環境系統工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,26,225,-----
51,國立臺灣大學,農業化學系,化x1.50 生x1.50 英x1.00 數甲x1.00 物x1.00,13,279.5,-----
52,國立臺灣大學,森林環境暨資源學系,生x2.00 數甲x1.00 化x1.50 物x1.50,25,249.5,-----
53,國立臺灣大學,動物科學技術學系,生x1.00 化x1.00 英x1.00 數甲x1.00 物x1.00,22,218,-----
54,國立臺灣大學,農業經濟學系,自x2.00 數甲x2.00 數Ax1.00 英x1.00,24,266,-----
55,國立臺灣大學,園藝暨景觀學系,英x1.00 生x1.50 國x1.00 化x1.00 數Ax1.00,24,255,275.6
56,國立臺灣大學,獸醫學系,英x1.00 化x1.00 生x1.00 國x1.00 數甲x1.00,24,252,-----
57,國立臺灣大學,生物產業傳播暨發展學系,英x1.50 國x1.50 數Ax1.50 地x1.00 歷x1.00,23,313.5,-----
60,國立臺灣大學,生物機電工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,23,239,-----
61,國立臺灣大學,昆蟲學系,生x1.00 化x1.00 英x1.00 數甲x1.00 物x1.00,14,203,-----
62,國立臺灣大學,植物病理與微生物學系,生x1.00 化x1.00 數甲x1.00 英x1.00 國x1.00,26,229,234.3
63,國立臺灣大學,工商管理學系企業管理組A組,數甲x1.00 英x1.00 地x1.00 歷x1.00 數Ax1.00,18,244,252.45
64,國立臺灣大學,工商管理學系企業管理組B組,數Ax1.00 英x1.00 地x1.00 歷x1.00 公x1.00,17,264,353.7
65,國立臺灣大學,工商管理學系科技管理組,數甲x1.00 英x1.00 物x1.00 化x1.00 數Ax1.00,15,237,-----
66,國立臺灣大學,會計學系A組,數甲x1.50 英x1.50 國x1.00,12,205,-----
67,國立臺灣大學,會計學系B組,英x1.50 國x1.25 數Ax1.25 公x1.00 地x1.00,41,308.25,-----
70,國立臺灣大學,財務金融學系A組,數甲x2.00 英x1.50 國x1.00,23,236,-----
71,國立臺灣大學,財務金融學系B組,英x1.50 公x1.00 地x1.00 歷x1.00,27,255.5,289.6
72,國立臺灣大學,國際企業學系A組,英x2.00 數甲x1.00 公x1.00,9,212,-----
73,國立臺灣大學,國際企業學系B組,英x2.00 數Ax1.00 地x1.00 歷x1.00 公x1.00,28,320,328.25
74,國立臺灣大學,資訊管理學系,數甲x1.50 英x1.00 物x1.00 化x1.00,18,229,-----
75,國立臺灣大學,公共衛生學系A組,數甲x1.25 英x1.25 化x1.00 生x1.00 物x1.00,12,255.75,-----
76,國立臺灣大學,公共衛生學系B組,數Bx1.25 英x1.25 公x1.25 國x1.00,8,245,-----
77,國立臺灣大學,電機工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00,48,225,251.1
100,國立臺灣大學,資訊工程學系,數甲x1.25 物x1.00 化x1.00 英x1.00,45,235.5,293.95
,,,112學年度最低錄取標準-第2頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
101,國立臺灣大學,法律學系法學組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,31,285.5,341.05
102,國立臺灣大學,法律學系司法組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,26,289.75,358.85
103,國立臺灣大學,法律學系財經法學組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,27,295,305.5
104,國立臺灣大學,生命科學系,生x1.00 英x1.00 化x1.00 數Ax1.00 物x1.00,23,239,-----
105,國立臺灣大學,生化科技學系,化x1.00 數甲x1.00 物x1.00 生x1.00 英x1.00,16,236,-----
106,國立臺灣大學,國際體育運動事務學士學位學程,英x2.00 國x1.25 數Bx1.00 公x1.00,2,269.25,-----
107,國立臺灣師範大學,教育學系,英x1.50 國x1.50 歷x1.00 地x1.00 數Bx1.00,25,274.5,298.05
110,國立臺灣師範大學,教育心理與輔導學系,英x1.25 數Bx1.25 國x1.00 公x1.00 歷x1.00,7,279.25,279.6
111,國立臺灣師範大學,社會教育學系,公x1.50 國x1.50 英x1.50 歷x1.00 地x1.00,27,310,-----
112,國立臺灣師範大學,健康促進與衛生教育學系,英x1.50 生x1.50 數甲x1.00 國x1.00,17,204.5,-----
113,國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,英x2.00 數Bx2.00 國x1.75 公x1.00,8,288.5,-----
114,國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,英x2.00 國x2.00 數Bx1.75 公x1.00,7,291.75,-----
115,國立臺灣師範大學,公民教育與活動領導學系,公x2.00 國x1.25 英x1.25 數Bx1.00,43,246.25,251.25
116,國立臺灣師範大學,特殊教育學系,國x1.25 英x1.25 公x1.00,12,164.75,-----
117,國立臺灣師範大學,學習科學學士學位學程,數甲x2.00 國x1.50 英x1.50,5,212,-----
120,國立臺灣師範大學,教育學院學士班,國x1.00 英x1.00 公x1.00,5,148,-----
