,,113學年度大學分發入學　 各系組最低錄取標準及錄取人數一覽表,,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1,國立臺灣大學,中國文學系,國x1.50 英x1.25 歷x1.25 地x1.00,21,259,-----
2,國立臺灣大學,外國語文學系,英x2.00 國x1.25 歷x1.00 地x1.00,42,282.75,301.9
3,國立臺灣大學,歷史學系,歷x1.00 國x1.00 英x1.00 地x1.00 公x1.00,22,263,264.6
4,國立臺灣大學,哲學系,國x1.00 英x1.00 歷x1.00 公x1.00,16,203,-----
5,國立臺灣大學,人類學系,英x1.50 歷x1.00 國x1.00 地x1.00 公x1.00,22,282.5,-----
6,國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 歷x1.00 公x1.00,16,238,251.6
7,國立臺灣大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00 公x1.00,18,317,-----
10,國立臺灣大學,戲劇學系(男),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,7,285.5,-----
11,國立臺灣大學,戲劇學系(女),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,9,290.5,310.4
12,國立臺灣大學,數學系,數Ax1.50 數甲x1.50 物x1.00 化x1.00 英x1.00,17,301,-----
13,國立臺灣大學,物理學系,物x1.50 數甲x1.50 英x1.00 化x1.00,22,266.5,-----
14,國立臺灣大學,化學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,30,250,259.2
15,國立臺灣大學,地質科學系,數甲x1.00 英x1.00 化x1.00 物x1.00 國x1.00,13,232,-----
16,國立臺灣大學,心理學系,數甲x1.00 英x1.00 國x1.00 生x1.00 化x1.00,38,250,259.2
17,國立臺灣大學,地理環境資源學系A組,數甲x1.00 物x1.00 化x1.00,8,138,-----
20,國立臺灣大學,地理環境資源學系B組,地x1.25 公x1.00 數Bx1.00,9,175.25,-----
21,國立臺灣大學,大氣科學系,數甲x1.25 物x1.25 化x1.25 英x1.00 國x1.00,13,269,-----
22,國立臺灣大學,政治學系政治理論組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,25,299.5,-----
23,國立臺灣大學,政治學系國際關係組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,26,309,316.4
24,國立臺灣大學,政治學系公共行政組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,29,301,382.05
25,國立臺灣大學,經濟學系A組,數甲x2.00 英x1.50 物x1.00,22,222.5,-----
26,國立臺灣大學,經濟學系B組,數Ax2.00 英x1.50 公x1.00 地x1.00,10,279,281.9
27,國立臺灣大學,社會學系,英x1.00 國x1.00 數Bx1.00 公x1.00 歷x1.00,28,256,259.2
30,國立臺灣大學,社會工作學系,英x1.25 國x1.25 數Bx1.00 公x1.00 歷x1.00,34,267.25,267.4
31,國立臺灣大學,醫學系(自費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,47,287,349.65
32,國立臺灣大學,醫學系(公費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,7,262,-----
33,國立臺灣大學,牙醫學系,生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,17,283,364.5
34,國立臺灣大學,藥學系,數甲x1.00 物x1.00 化x2.00 生x2.00 英x1.00,17,371,394.35
35,國立臺灣大學,醫學檢驗暨生物技術學系,化x1.00 生x1.00 英x1.00 數甲x1.00 國x1.00,14,254,259.2
36,國立臺灣大學,護理學系,英x1.00 生x1.00 化x1.00 數甲x1.00 國x1.00,15,241,-----
37,國立臺灣大學,物理治療學系,生x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,15,253,-----
,,,113學年度最低錄取標準-第1頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
40,國立臺灣大學,職能治療學系,英x1.50 國x1.25 生x1.00 數甲x1.00,19,246,271.7
41,國立臺灣大學,土木工程學系,數甲x1.00 物x1.00 英x1.00 國x1.00 化x1.00,36,241,-----
42,國立臺灣大學,機械工程學系,物x1.00 數甲x1.00 化x1.00 英x1.00 國x1.00,41,255,-----
43,國立臺灣大學,化學工程學系,數甲x1.25 物x1.25 化x1.25 英x1.00,53,239.75,-----
44,國立臺灣大學,工程科學及海洋工程學系,數甲x2.00 物x2.00 英x1.00 化x1.00,15,302,-----
45,國立臺灣大學,材料科學與工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,22,262,-----
46,國立臺灣大學,醫學工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,19,253,-----
47,國立臺灣大學,農藝學系,生x1.25 化x1.25 英x1.00 數甲x1.00 國x1.00,19,256.5,-----
50,國立臺灣大學,生物環境系統工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,15,235,-----
51,國立臺灣大學,農業化學系,化x1.50 生x1.50 英x1.00 數Ax1.00 物x1.00,13,287,-----
52,國立臺灣大學,森林環境暨資源學系,生x2.00 數甲x1.00 化x1.50 物x1.50,28,260.5,-----
53,國立臺灣大學,動物科學技術學系,生x1.00 化x1.00 英x1.00 數甲x1.00,13,189,-----
54,國立臺灣大學,農業經濟學系,數甲x2.00 英x2.00 自x1.00,22,235,-----
55,國立臺灣大學,園藝暨景觀學系,英x1.00 生x1.50 國x1.00 化x1.00 數Ax1.00,25,262,287.8
56,國立臺灣大學,獸醫學系,英x1.00 生x1.00 化x1.00 國x1.00 數甲x1.00,25,261,271.35
57,國立臺灣大學,生物產業傳播暨發展學系,英x1.50 國x1.50 數Ax1.50 地x1.00 歷x1.00,26,315.5,-----
60,國立臺灣大學,生物機電工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,20,248,-----
61,國立臺灣大學,昆蟲學系,生x2.00 化x1.50 英x1.00 數甲x1.00 物x1.00,20,281,318.85
62,國立臺灣大學,植物病理與微生物學系,生x1.00 化x1.00 數甲x1.00 英x1.00 國x1.00,19,237,-----
63,國立臺灣大學,工商管理學系企業管理組A組,數甲x1.00 英x1.00 地x1.00 歷x1.00 數Ax1.00,16,247,-----
64,國立臺灣大學,工商管理學系企業管理組B組,數Ax1.00 英x1.00 地x1.00 歷x1.00 公x1.00,16,262,292.95
65,國立臺灣大學,工商管理學系科技管理組,數甲x1.00 英x1.00 物x1.00 化x1.00 數Ax1.00,20,241,-----
66,國立臺灣大學,會計學系A組,數甲x1.50 英x1.50 國x1.00,13,210.5,-----
67,國立臺灣大學,會計學系B組,英x1.50 國x1.25 數Ax1.25 公x1.00 地x1.00,45,309.25,398.55
70,國立臺灣大學,財務金融學系A組,數甲x2.00 英x1.50 國x1.00,24,240,-----
,,,,,,
71,國立臺灣大學,財務金融學系B組,英x1.50 公x1.00 地x1.00 歷x1.00,26,254,328.55
,,,,,,
72,國立臺灣大學,國際企業學系A組,英x2.00 數甲x1.00 公x1.00,8,212,-----
