113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0001,國立臺灣大學,中國文學系,國x1.50 英x1.25 歷x1.25 地x1.00,21,259.00,-----
0002,國立臺灣大學,外國語文學系,英x2.00 國x1.25 歷x1.00 地x1.00,42,282.75,301.90
0003,國立臺灣大學,歷史學系,歷x1.00 國x1.00 英x1.00 地x1.00 公x1.00,22,263.00,264.60
0004,國立臺灣大學,哲學系,國x1.00 英x1.00 歷x1.00 公x1.00,16,203.00,-----
0005,國立臺灣大學,人類學系,英x1.50 歷x1.00 國x1.00 地x1.00 公x1.00,22,282.50,-----
0006,國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 歷x1.00 公x1.00,16,238.00,251.60
0007,國立臺灣大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00 公x1.00,18,317.00,-----
0010,國立臺灣大學,戲劇學系(男),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,7,285.50,-----
0011,國立臺灣大學,戲劇學系(女),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,9,290.50,310.40
0012,國立臺灣大學,數學系,數Ax1.50 數甲x1.50 物x1.00 化x1.00 英x1.00,17,301.00,-----
0013,國立臺灣大學,物理學系,物x1.50 數甲x1.50 英x1.00 化x1.00,22,266.50,-----
0014,國立臺灣大學,化學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,30,250.00,259.20
0015,國立臺灣大學,地質科學系,數甲x1.00 英x1.00 化x1.00 物x1.00 國x1.00,13,232.00,-----
0016,國立臺灣大學,心理學系,數甲x1.00 英x1.00 國x1.00 生x1.00 化x1.00,38,250.00,259.20
0017,國立臺灣大學,地理環境資源學系A組,數甲x1.00 物x1.00 化x1.00,8,138.00,-----
0020,國立臺灣大學,地理環境資源學系B組,地x1.25 公x1.00 數Bx1.00,9,175.25,-----
0021,國立臺灣大學,大氣科學系,數甲x1.25 物x1.25 化x1.25 英x1.00 國x1.00,13,269.00,-----
0022,國立臺灣大學,政治學系政治理論組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,25,299.50,-----
0023,國立臺灣大學,政治學系國際關係組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,26,309.00,316.40
0024,國立臺灣大學,政治學系公共行政組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,29,301.00,382.05
0025,國立臺灣大學,經濟學系A組,數甲x2.00 英x1.50 物x1.00,22,222.50,-----
0026,國立臺灣大學,經濟學系B組,數Ax2.00 英x1.50 公x1.00 地x1.00,10,279.00,281.90
0027,國立臺灣大學,社會學系,英x1.00 國x1.00 數Bx1.00 公x1.00 歷x1.00,28,256.00,259.20
0030,國立臺灣大學,社會工作學系,英x1.25 國x1.25 數Bx1.00 公x1.00 歷x1.00,34,267.25,267.40
0031,國立臺灣大學,醫學系(自費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,47,287.00,349.65
0032,國立臺灣大學,醫學系(公費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,7,262.00,-----
